Horizontal Diffusivity,Wind correction (Drift Angle at zero wind speed),Wind correction (Drift Factor),FSS
2.0,0.0,0.78,0.1226
16.4,-14.88,1.78,0.0203
48.81,12.35,4.23,0.0065
60.18,4.85,1.11,0.0592
61.74,11.65,2.17,0.0194
67.51,-9.03,0.03,0.4334
71.4,-9.25,3.22,0.0269
18.67,-7.68,3.47,0.0225
43.22,-4.36,3.74,0.0222
55.34,-14.49,1.53,0.0351
76.96,1.8,1.42,0.0564
58.65,7.48,4.09,0.0097
19.57,11.18,4.59,0.0032
5.59,1.18,4.03,0.0114
5.07,9.16,4.61,0.0007
84.71,2.16,2.28,0.031
11.67,12.01,0.55,0.0866
76.92,14.12,0.71,0.0558
24.16,-0.18,2.37,0.0398
87.3,2.08,3.64,0.0204
66.95,1.25,0.16,0.2536
9.26,-13.28,4.2,0.009
92.03,-9.53,3.97,0.0226
11.72,2.35,2.5,0.0182
15.45,5.51,3.58,0.0053
74.11,9.25,0.23,0.1707
39.79,-4.78,4.85,0.0156
61.79,-10.99,2.76,0.0307
97.36,-1.25,0.19,0.2226
57.83,-10.04,2.33,0.042
42.24,8.82,1.54,0.0302
96.12,9.13,3.35,0.0118
87.77,14.02,2.27,0.0194
24.73,-1.66,0.6,0.1536
17.27,8.82,4.4,0.0052
28.4,-11.53,0.37,0.214
35.84,7.52,3.25,0.0111
87.88,11.45,3.64,0.0099
92.84,-5.38,2.62,0.0392
96.14,-2.8,1.54,0.0625
58.08,-8.47,1.19,0.084
41.37,-10.98,4.37,0.0174
82.53,-14.34,1.07,0.0579
43.4,-13.84,0.6,0.132
31.19,5.63,3.15,0.0114
32.94,-8.37,0.91,0.148
14.48,10.24,1.48,0.0298
46.52,-4.17,1.81,0.0555
64.83,-7.92,0.56,0.1767
99.59,11.56,4.81,0.0048
78.63,-1.72,4.94,0.0171
27.05,14.93,2.39,0.0159
99.83,9.21,4.68,0.006
80.07,4.38,4.21,0.0109
97.26,10.56,3.97,0.0098
95.33,9.62,1.29,0.0369
4.3,12.45,0.29,0.1316
79.72,0.49,1.42,0.0618
72.47,13.68,3.76,0.009
22.93,-10.28,2.87,0.026
14.36,-5.47,3.07,0.0228
12.2,3.55,2.01,0.0243
61.49,6.69,0.23,0.1868
78.15,9.85,0.74,0.0549
52.6,7.77,2.98,0.0107
45.78,-7.43,4.59,0.0189
13.51,-14.34,2.69,0.0154
83.05,-9.58,2.9,0.0297
26.15,-9.07,2.12,0.0453
38.4,-11.22,0.99,0.0996
65.01,9.72,1.06,0.0469
45.67,13.45,1.73,0.0241
85.0,0.76,2.22,0.0381
93.02,-10.27,2.63,0.0318
40.5,-11.78,0.71,0.1577
34.57,8.1,1.73,0.0273
97.9,10.73,3.58,0.0111
35.11,-4.19,3.29,0.028
79.2,-2.33,3.86,0.029
59.61,-9.7,4.03,0.0208
56.24,-1.51,2.34,0.0439
76.19,0.21,1.23,0.068
7.62,-4.32,2.89,0.021
52.73,0.29,4.56,0.0222
67.28,1.64,4.49,0.0164
83.2,-13.05,3.82,0.0144
15.26,12.51,3.91,0.0062
79.55,-4.16,1.39,0.0673
77.48,11.07,1.77,0.0281
38.99,-2.33,0.55,0.1614
69.4,-9.54,2.86,0.0313
63.75,12.9,1.61,0.0307
29.28,-11.82,2.2,0.0368
17.85,14.71,1.05,0.0432
74.68,-11.12,0.15,0.3203
15.48,-11.86,3.6,0.015
1.96,-14.03,2.82,0.0045
54.47,-9.43,3.88,0.0222
61.83,13.74,3.21,0.0123
66.19,4.43,2.3,0.0275
60.48,4.62,3.04,0.0169
