Wind correction (Drift Factor),Wind correction (Drift Angle at zero wind speed),Horizontal Diffusivity,FSS
2.0,0.0,0.78,0.1216
32.98,-8.66,4.81,0.0172
59.86,8.79,4.91,0.0051
39.97,-14.37,4.53,0.0083
58.09,-12.36,4.54,0.0167
14.02,-12.97,3.29,0.0143
63.46,4.83,1.57,0.037
59.14,-14.26,4.32,0.0117
58.03,-10.45,4.62,0.0178
66.71,11.11,0.5,0.0921
49.8,-4.07,1.85,0.0546
4.35,-6.65,3.41,0.0154
11.24,-4.22,0.7,0.174
40.74,-10.4,3.44,0.0231
96.36,-5.72,3.55,0.0279
57.95,-5.85,2.11,0.0519
4.24,5.97,2.26,0.0082
65.35,-10.26,2.75,0.0311
20.18,-1.13,4.4,0.0204
67.3,-8.75,4.67,0.0208
71.32,-14.36,4.86,0.0098
25.16,10.23,2.35,0.0138
7.68,-14.16,2.82,0.0087
49.5,0.53,0.32,0.181
18.66,-3.87,0.26,0.2326
82.72,-8.27,3.91,0.0267
6.6,14.3,0.04,0.3774
89.29,9.4,1.13,0.0437
99.95,-5.56,3.34,0.0286
43.63,-3.78,2.73,0.036
86.85,9.84,3.54,0.0104
25.29,-1.52,4.27,0.02
8.26,-14.19,1.77,0.0259
90.74,13.99,2.72,0.0129
16.55,1.62,1.26,0.0743
62.0,6.92,4.58,0.0077
31.55,-9.31,0.93,0.1309
58.02,-6.76,3.68,0.0224
98.74,1.77,0.84,0.1009
31.09,-6.55,4.89,0.0135
96.23,8.21,4.96,0.0054
58.02,6.67,1.39,0.0375
37.1,2.45,1.12,0.079
83.15,0.67,0.17,0.2291
99.67,-12.87,1.57,0.0456
32.69,-6.85,2.38,0.0393
69.62,-4.06,1.33,0.0714
56.14,-2.61,3.94,0.0273
83.51,-13.17,1.88,0.0328
19.78,-6.76,4.6,0.0144
73.18,9.93,3.48,0.0098
23.18,2.39,1.0,0.0769
54.91,7.34,0.25,0.1651
5.09,1.12,2.32,0.026
79.58,-7.33,0.66,0.1676
38.14,3.0,1.39,0.0493
20.68,7.73,2.73,0.0116
54.9,8.09,4.18,0.0112
83.23,11.24,0.56,0.0779
37.11,-8.75,0.93,0.1356
68.09,14.68,0.87,0.0457
85.01,10.53,0.77,0.0615
85.47,14.22,0.07,0.2921
42.44,-10.68,4.51,0.0165
72.63,7.12,2.89,0.0126
32.27,-13.95,1.07,0.0552
71.15,9.41,3.96,0.0116
70.28,-13.16,3.4,0.0188
57.01,6.22,2.21,0.0238
13.69,9.42,3.61,0.0052
65.76,2.41,3.44,0.0202
30.43,-14.16,1.08,0.055
84.03,3.9,3.76,0.0157
35.05,-7.13,2.88,0.0326
27.25,11.97,2.57,0.014
67.23,10.21,0.76,0.0587
48.99,9.87,0.31,0.151
78.2,12.39,1.85,0.0242
25.13,-6.94,1.12,0.089
44.03,6.38,4.34,0.0103
25.8,-2.99,3.79,0.0233
53.63,13.06,4.9,0.0039
46.07,-8.11,0.39,0.2037
16.89,-9.91,3.3,0.0227
55.58,-3.15,3.94,0.0248
40.91,-1.38,4.33,0.0233
45.99,-11.06,4.64,0.0182
63.55,11.03,3.42,0.0103
50.02,-14.74,2.3,0.0205
8.49,-10.99,2.2,0.0305
6.11,2.58,3.48,0.0089
8.84,6.67,2.32,0.0094
2.09,13.7,2.4,0.007
40.69,5.53,4.96,0.0049
9.14,2.14,3.33,0.0156
25.6,-2.38,4.45,0.0233
16.03,-10.64,0.26,0.2391
7.48,-10.51,0.75,0.1486
75.14,1.98,2.6,0.0321
76.25,-13.48,1.44,0.0438
90.74,5.09,1.78,0.0317
71.39,6.77,2.72,0.0165
77.42,9.08,0.87,0.0563
